Locality;Site;NR;YEAR;MONTH;Habitat;ART;VEKT;LENMM;LENCM;Kond;SEX;MATURITY;AGE;Measured Hg weight;Omregnfaktor;MHGWet1;MHGWet2;MHGDry;Log10MHGWet1;Log10MHGDry;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;9pigg;sik;lagesild;UidCoreg;abbor;gjedde;niøye;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;SIASample ;%C;%N;δ13C;δ15N;SIAanmerkn;Kolonne1
Vaggatem;TB;18;2018;9;1;2;9,4;95;9,5;1,096369733;1;1;1;Dry;0,21;38,31421738;0,038314217;0,182448654;1,583359959;-0,738859336;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-18;45,57892157;13,85456863;-26,20815111;8,005474032;;
Vaggatem;TB;19;2018;9;1;2;192;246;24,6;1,289721404;1;2;13;Dry;0,21;130,5255487;0,130525549;0,621550232;2,115695528;-0,206523767;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;TB-19;46,52979522;14,92860068;-22,93397639;8,265859;;
Vaggatem;TB;20;2018;9;1;2;119;216;21,6;1,180825459;1;1;9;Dry;0,21;64,93415588;0,064934156;0,309210266;1,812473199;-0,509746095;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-20;46,22630435;14,71197324;-23,92224556;8,618121;;
Vaggatem;TB;21;2018;9;1;2;106;201;20,1;1,305322106;1;1;6;Dry;0,21;68,97533569;0,068975336;0,328453979;1,838693823;-0,483525472;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;TB-21;46,36307947;14,89589404;-22,82581973;9,0069945;;
Vaggatem;TB;22;2018;9;1;2;100;199;19,9;1,268939074;2;2;7;Dry;0,21;159,8868274;0,159886827;0,761365845;2,203812685;-0,11840661;5;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-22;44,99407216;14,51821306;-26,32376541;8,6250475;;
Vaggatem;TB;25;2018;9;1;2;35;141;14,1;1,248563706;1;1;4;Dry;0,21;53,34101898;0,053341019;0,254004852;1,727061308;-0,595157987;20;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;TB-25;46,33582474;14,5802268;-24,24794201;7,710251267;;
Vaggatem;TB;26;2018;9;1;2;9,4;93;9,3;1,16863532;1;1;2;Dry;0,21;32,3699382;0,032369938;0,154142563;1,51014187;-0,812077424;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;TB-26;47,58508333;14,74856;-25,14984113;6,650825664;;
Vaggatem;TB;27;2018;9;1;2;12,2;104;10,4;1,084575558;2;1;2;Dry;0,21;30,99118195;0,030991182;0,147577057;1,49123814;-0,830981155;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-27;50,39548495;15,74903679;-24,65660828;6,561486617;;
Vaggatem;TB;28;2018;9;1;2;8,6;92;9,2;1,104421797;1;1;1;Dry;0,21;35,64731735;0,035647317;0,16974913;1,552026852;-0,770192442;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TB-28;46,33125;14,2667027;-25,42550295;6,288551487;;
Vaggatem;TB;29;2018;9;1;2;14,2;109;10,9;1,096500542;1;1;2;Dry;0,21;28,08748718;0,028087487;0,133749939;1,448512887;-0,873706407;10;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;TB-29;47,48830645;14,7924;-25,55451383;6,978912774;;
